"","x"
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0.000488
"549",0.000961
"550",0.001416
"551",0.001856
"552",0.002279
"553",0.002686
"554",0.003074
"555",0.003448
"556",0.003805
"557",0.004147
"558",0.004472
"559",0.004782
"560",0.005074
"561",0.005351
"562",0.005611
"563",0.005856
"564",0.006084
"565",0.006285
"566",0.006473
"567",0.00665
"568",0.006808
"569",0.006947
"570",0.007075
"571",0.007186
"572",0.007281
"573",0.00736
"574",0.007422
"575",0.007467
"576",0.007496
"577",0.007508
"578",0.00752
"579",0.007532
"580",0.007544
"581",0.007556
"582",0.007568
"583",0.00758
"584",0.007588
"585",0.007599
"586",0.007611
"587",0.007623
"588",0.007635
"589",0.007646
"590",0.007658
"591",0.007669
"592",0.007676
"593",0.007686
"594",0.007697
"595",0.007709
"596",0.007721
"597",0.007733
"598",0.007745
"599",0.007758
"600",0.007769
"601",0.00778
"602",0.00779
"603",0.007802
"604",0.007814
"605",0.007826
"606",0.007838
"607",0.00785
"608",0.007862
"609",0.007874
"610",0.007886
"611",0.007897
"612",0.007909
"613",0.007921
"614",0.007933
"615",0.007945
"616",0.007956
"617",0.007968
"618",0.007979
"619",0.007992
"620",0.008004
"621",0.008016
"622",0.008028
"623",0.00804
"624",0.008051
"625",0.008061
"626",0.008071
"627",0.00808
"628",0.008089
"629",0.008098
"630",0.008108
"631",0.008116
"632",0.008123
"633",0.008131
"634",0.008138
"635",0.008144
"636",0.008149
"637",0.008156
"638",0.008162
"639",0.008167
"640",0.008173
"641",0.008177
"642",0.008181
"643",0.008184
"644",0.008186
"645",0.008187
"646",0.008189
"647",0.00819
"648",0.00819
"649",0.008191
"650",0.008191
"651",0.00819
"652",0.00819
"653",0.008189
"654",0.008189
"655",0.008189
"656",0.008188
"657",0.008188
"658",0.008187
"659",0.008187
"660",0.008187
"661",0.008186
"662",0.008186
"663",0.008185
"664",0.008185
"665",0.008185
"666",0.008184
"667",0.008184
"668",0.008183
"669",0.008183
"670",0.008183
"671",0.008182
"672",0.008182
"673",0.008181
"674",0.008181
"675",0.008181
"676",0.00818
"677",0.00818
"678",0.008179
"679",0.008179
"680",0.008179
"681",0.008178
"682",0.008178
"683",0.008177
"684",0.008177
"685",0.008177
"686",0.008176
"687",0.008176
"688",0.008175
"689",0.008175
"690",0.008179
"691",0.008183
"692",0.008187
"693",0.008191
"694",0.008195
"695",0.0082
"696",0.008203
"697",0.008206
"698",0.008208
"699",0.00821
"700",0.008211
"701",0.008211
"702",0.008211
"703",0.00821
"704",0.00821
"705",0.00821
"706",0.008209
"707",0.008209
"708",0.008208
"709",0.008208
"710",0.008208
"711",0.008207
"712",0.008207
"713",0.008206
"714",0.008206
"715",0.008206
"716",0.008205
"717",0.008205
"718",0.008204
"719",0.008204
"720",0.008204
"721",0.008203
"722",0.008203
"723",0.008202
"724",0.008202
"725",0.008202
"726",0.008201
"727",0.008201
"728",0.0082
"729",0.0082
"730",0.008199
"731",0.008199
"732",0.008199
"733",0.008198
"734",0.008198
"735",0.008197
"736",0.008197
"737",0.008197
"738",0.008196
"739",0.008196
"740",0.008195
"741",0.008195
"742",0.008195
"743",0.0082
"744",0.008205
"745",0.008212
"746",0.008214
"747",0.008218
"748",0.008224
"749",0.00823
"750",0.008236
"751",0.008242
"752",0.008248
"753",0.008252
"754",0.008256
"755",0.008261
"756",0.008264
"757",0.008268
"758",0.008272
"759",0.008275
"760",0.008278
"761",0.00828
"762",0.008282
"763",0.008283
"764",0.008284
"765",0.008288
"766",0.008294
"767",0.0083
"768",0.008304
"769",0.008307
"770",0.008313
"771",0.00832
"772",0.008327
"773",0.008333
"774",0.008333
"775",0.008332
"776",0.008332
"777",0.008334
"778",0.008336
"779",0.00834
"780",0.008346
"781",0.00835
"782",0.008355
"783",0.008359
"784",0.008366
"785",0.008372
"786",0.008377
"787",0.008378
"788",0.008378
"789",0.008377
"790",0.008377
"791",0.008378
"792",0.008378
"793",0.008379
"794",0.008378
"795",0.008378
"796",0.008378
"797",0.008378
"798",0.008378
"799",0.008379
"800",0.008383
"801",0.008385
"802",0.008389
"803",0.00839
"804",0.00839
"805",0.00839
"806",0.008389
"807",0.008389
"808",0.008388
"809",0.008388
"810",0.008388
"811",0.008387
"812",0.008387
"813",0.008386
"814",0.008386
"815",0.008385
"816",0.008385
"817",0.008386
"818",0.008385
"819",0.008385
"820",0.008384
"821",0.008384
"822",0.008384
"823",0.008383
"824",0.008383
"825",0.008382
"826",0.008383
"827",0.008384
"828",0.008384
"829",0.008384
"830",0.008383
"831",0.008383
"832",0.008382
"833",0.008382
"834",0.008382
"835",0.008385
"836",0.008387
"837",0.008389
"838",0.008391
"839",0.008391
"840",0.008391
"841",0.008391
"842",0.008394
"843",0.008398
"844",0.008397
"845",0.008397
"846",0.008397
"847",0.008396
"848",0.008399
"849",0.008399
"850",0.008398
"851",0.008398
"852",0.008397
"853",0.008397
"854",0.008397
"855",0.008396
"856",0.008396
"857",0.008395
"858",0.008395
"859",0.008395
"860",0.008394
"861",0.008394
"862",0.008393
"863",0.008393
"864",0.008394
"865",0.008395
"866",0.008396
"867",0.008396
"868",0.008396
"869",0.008395
"870",0.008395
"871",0.008394
"872",0.008394
"873",0.008394
"874",0.008393
"875",0.008393
"876",0.008392
"877",0.008392
"878",0.008391
"879",0.008391
"880",0.008391
"881",0.00839
"882",0.00839
"883",0.008389
"884",0.008389
"885",0.008389
"886",0.008388
"887",0.008388
"888",0.008387
"889",0.008387
"890",0.008387
"891",0.008386
"892",0.008386
"893",0.008385
"894",0.008385
"895",0.008384
"896",0.008384
"897",0.008384
"898",0.008383
"899",0.008383
"900",0.008382
"901",0.008382
"902",0.008382
"903",0.008381
"904",0.008381
"905",0.00838
"906",0.00838
"907",0.00838
"908",0.008379
"909",0.008382
"910",0.008385
"911",0.00839
"912",0.008396
"913",0.009272
"914",0.010118
"915",0.010937
"916",0.011722
"917",0.012475
"918",0.013205
"919",0.013902
"920",0.01456
"921",0.015194
"922",0.015805
"923",0.016381
"924",0.016933
"925",0.017457
"926",0.017951
"927",0.018416
"928",0.018841
"929",0.01924
"930",0.019616
"931",0.019963
"932",0.020278
"933",0.020567
"934",0.020827
"935",0.021057
"936",0.021254
"937",0.02141
"938",0.021538
"939",0.021645
"940",0.021724
"941",0.021775
"942",0.021795
"943",0.021815
"944",0.021835
"945",0.021854
"946",0.021872
"947",0.021888
"948",0.021908
"949",0.021929
"950",0.02195
"951",0.021971
"952",0.021992
"953",0.022012
"954",0.022032
"955",0.022053
"956",0.022074
"957",0.022095
"958",0.022114
"959",0.022135
"960",0.022155
"961",0.022175
"962",0.022196
"963",0.022216
"964",0.022237
"965",0.022258
"966",0.022278
"967",0.022298
"968",0.022319
"969",0.022341
"970",0.022362
"971",0.022383
"972",0.022403
"973",0.022422
"974",0.022441
"975",0.02246
"976",0.02248
"977",0.022498
"978",0.022514
"979",0.022529
"980",0.022546
"981",0.022562
"982",0.022578
"983",0.022596
"984",0.022616
"985",0.022636
"986",0.022657
"987",0.022677
"988",0.022699
"989",0.02272
"990",0.02274
"991",0.022762
"992",0.022783
"993",0.022804
"994",0.022826
"995",0.022847
"996",0.022867
"997",0.022886
"998",0.022905
"999",0.022924
"1000",0.022941
"1001",0.022958
"1002",0.022974
"1003",0.02299
"1004",0.023004
"1005",0.023017
"1006",0.023029
"1007",0.02304
"1008",0.023049
"1009",0.023058
"1010",0.023065
"1011",0.023071
"1012",0.023077
"1013",0.023081
"1014",0.023085
"1015",0.023089
"1016",0.023093
"1017",0.023096
"1018",0.023097
"1019",0.023099
"1020",0.0231
"1021",0.0231
"1022",0.0231
"1023",0.023099
"1024",0.023097
"1025",0.023096
"1026",0.023095
"1027",0.023094
"1028",0.023093
"1029",0.023092
"1030",0.023091
"1031",0.023089
"1032",0.023088
"1033",0.023087
"1034",0.023086
"1035",0.023085
"1036",0.023084
"1037",0.023083
"1038",0.023082
"1039",0.02308
"1040",0.023079
"1041",0.023078
"1042",0.023077
"1043",0.023076
"1044",0.023075
"1045",0.023074
"1046",0.023072
"1047",0.023071
"1048",0.02307
"1049",0.023069
"1050",0.023068
"1051",0.023067
"1052",0.023066
"1053",0.023065
"1054",0.023063
"1055",0.023062
"1056",0.023061
"1057",0.02306
"1058",0.023059
"1059",0.023058
"1060",0.023057
"1061",0.023055
"1062",0.023054
"1063",0.023053
"1064",0.023052
"1065",0.023051
"1066",0.02305
"1067",0.023049
"1068",0.023048
"1069",0.023046
"1070",0.023045
"1071",0.023044
"1072",0.023043
"1073",0.023042
"1074",0.023041
"1075",0.02304
"1076",0.023039
"1077",0.023037
"1078",0.023036
"1079",0.023035
"1080",0.023034
"1081",0.023033
"1082",0.023032
"1083",0.023031
"1084",0.023029
"1085",0.023028
"1086",0.023027
"1087",0.023026
"1088",0.023025
"1089",0.023024
"1090",0.023023
"1091",0.023022
"1092",0.02302
"1093",0.023019
"1094",0.023018
"1095",0.023017
"1096",0.023016
"1097",0.023015
"1098",0.023014
"1099",0.023012
"1100",0.023011
"1101",0.02301
"1102",0.023009
"1103",0.023008
"1104",0.023007
"1105",0.023006
"1106",0.023005
"1107",0.023003
"1108",0.023002
"1109",0.023001
"1110",0.023
"1111",0.022999
"1112",0.023006
"1113",0.02302
"1114",0.023032
"1115",0.023031
"1116",0.023042
"1117",0.023057
"1118",0.023072
"1119",0.023085
"1120",0.023097
"1121",0.023108
"1122",0.02312
"1123",0.023132
"1124",0.023143
"1125",0.023153
"1126",0.023164
"1127",0.023175
"1128",0.023186
"1129",0.023197
"1130",0.023208
"1131",0.023218
"1132",0.023229
"1133",0.023238
"1134",0.023247
"1135",0.023252
"1136",0.023257
"1137",0.023265
"1138",0.023275
"1139",0.023286
"1140",0.023298
"1141",0.023309
"1142",0.02332
"1143",0.023329
"1144",0.023328
"1145",0.023327
"1146",0.023331
"1147",0.02334
"1148",0.023351
"1149",0.02336
"1150",0.023364
"1151",0.023373
"1152",0.023383
"1153",0.023391
"1154",0.023397
"1155",0.023403
"1156",0.02341
"1157",0.023415
"1158",0.023423
"1159",0.023427
"1160",0.02343
"1161",0.023433
"1162",0.023433
"1163",0.023433
"1164",0.023433
"1165",0.023434
"1166",0.023433
"1167",0.023432
"1168",0.023434
"1169",0.02344
"1170",0.023446
"1171",0.023457
"1172",0.023465
"1173",0.023475
"1174",0.023482
"1175",0.023491
"1176",0.0235
"1177",0.023508
"1178",0.023519
"1179",0.023524
"1180",0.023522
"1181",0.023532
"1182",0.023542
"1183",0.023541
"1184",0.023539
"1185",0.023538
"1186",0.023537
"1187",0.023536
"1188",0.023535
"1189",0.023534
"1190",0.023533
"1191",0.023531
"1192",0.02353
"1193",0.023529
"1194",0.023528
"1195",0.023527
"1196",0.023526
"1197",0.023529
"1198",0.02353
"1199",0.023529
"1200",0.023529
"1201",0.023534
"1202",0.023541
"1203",0.023548
"1204",0.023556
"1205",0.023564
"1206",0.023566
"1207",0.023574
"1208",0.023585
"1209",0.023596
"1210",0.023607
"1211",0.023619
"1212",0.023627
"1213",0.023626
"1214",0.02363
"1215",0.023635
"1216",0.023634
"1217",0.023633
"1218",0.023632
"1219",0.023631
"1220",0.023632
"1221",0.023631
"1222",0.023633
"1223",0.02364
"1224",0.023648
"1225",0.023653
"1226",0.023659
"1227",0.023666
"1228",0.023675
"1229",0.023686
"1230",0.023696
"1231",0.023707
"1232",0.023713
"1233",0.023712
"1234",0.023713
"1235",0.023712
"1236",0.023711
"1237",0.02371
"1238",0.023709
"1239",0.023707
"1240",0.02371
"1241",0.023712
"1242",0.023713
"1243",0.023716
"1244",0.023722
"1245",0.02373
"1246",0.023739
"1247",0.023749
"1248",0.023758
"1249",0.023757
"1250",0.023756
"1251",0.023755
"1252",0.023758
"1253",0.023758
"1254",0.023766
"1255",0.023776
"1256",0.023775
"1257",0.023776
"1258",0.023777
"1259",0.023784
"1260",0.023794
"1261",0.023806
"1262",0.023813
"1263",0.023822
"1264",0.023837
"1265",0.023838
"1266",0.023837
"1267",0.023838
"1268",0.023844
"1269",0.023854
"1270",0.023866
"1271",0.023882
"1272",0.023898
"1273",0.023912
"1274",0.023923
"1275",0.023933
"1276",0.023948
"1277",0.023962
"1278",0.026426
"1279",0.028802
"1280",0.031108
"1281",0.03333
"1282",0.035466
"1283",0.03752
"1284",0.039491
"1285",0.041377
"1286",0.043178
"1287",0.044894
"1288",0.046529
"1289",0.048076
"1290",0.049529
"1291",0.050907
"1292",0.052203
"1293",0.053398
"1294",0.054516
"1295",0.05556
"1296",0.05651
"1297",0.057385
"1298",0.058158
"1299",0.058848
"1300",0.059445
"1301",0.059971
"1302",0.060423
"1303",0.060792
"1304",0.061074
"1305",0.061262
"1306",0.061344
"1307",0.061341
"1308",0.061349
"1309",0.061371
"1310",0.061402
"1311",0.061434
"1312",0.061465
"1313",0.061497
"1314",0.06153
"1315",0.06156
"1316",0.061589
"1317",0.061621
"1318",0.06165
"1319",0.061668
"1320",0.061697
"1321",0.061727
"1322",0.061758
"1323",0.06179
"1324",0.06181
"1325",0.061838
"1326",0.061869
"1327",0.061901
"1328",0.061932
"1329",0.061963
"1330",0.061995
"1331",0.062027
"1332",0.062059
"1333",0.062091
"1334",0.062123
"1335",0.062155
"1336",0.062186
"1337",0.062216
"1338",0.062246
"1339",0.062274
"1340",0.062301
"1341",0.062325
"1342",0.062347
"1343",0.062368
"1344",0.062388
"1345",0.062411
"1346",0.062434
"1347",0.062456
"1348",0.06248
"1349",0.062505
"1350",0.062529
"1351",0.062555
"1352",0.062582
"1353",0.06261
"1354",0.062635
"1355",0.062662
"1356",0.062687
"1357",0.062712
"1358",0.062735
"1359",0.062755
"1360",0.062771
"1361",0.062788
"1362",0.062804
"1363",0.062822
"1364",0.062836
"1365",0.062849
"1366",0.062871
"1367",0.062898
"1368",0.062924
"1369",0.062949
"1370",0.062973
"1371",0.062995
"1372",0.063012
"1373",0.063025
"1374",0.063037
"1375",0.063051
"1376",0.063064
"1377",0.063075
"1378",0.063084
"1379",0.063092
"1380",0.063101
"1381",0.063108
"1382",0.063115
"1383",0.063119
"1384",0.06312
"1385",0.063122
"1386",0.063125
"1387",0.063126
"1388",0.063126
"1389",0.063125
"1390",0.063123
"1391",0.063122
"1392",0.063121
"1393",0.06312
"1394",0.063118
"1395",0.063116
"1396",0.063114
"1397",0.063112
"1398",0.063109
"1399",0.063107
"1400",0.063104
"1401",0.063102
"1402",0.063099
"1403",0.063096
"1404",0.063092
"1405",0.063089
"1406",0.063086
"1407",0.063083
"1408",0.06308
"1409",0.063077
"1410",0.063074
"1411",0.063071
"1412",0.063068
"1413",0.063065
"1414",0.063062
"1415",0.063058
"1416",0.063055
"1417",0.063052
"1418",0.063049
"1419",0.063046
"1420",0.063043
"1421",0.06304
"1422",0.063037
"1423",0.063034
"1424",0.063031
"1425",0.063027
"1426",0.063024
"1427",0.063021
"1428",0.063018
"1429",0.063015
"1430",0.063012
"1431",0.063009
"1432",0.063006
"1433",0.063003
"1434",0.063
"1435",0.062997
"1436",0.062993
"1437",0.06299
"1438",0.062987
"1439",0.062984
"1440",0.062981
"1441",0.062978
"1442",0.062975
"1443",0.062972
"1444",0.062969
"1445",0.062966
"1446",0.062962
"1447",0.062959
"1448",0.062956
"1449",0.062953
"1450",0.06295
"1451",0.062947
"1452",0.062944
"1453",0.062941
"1454",0.062938
"1455",0.062935
"1456",0.062932
"1457",0.062928
"1458",0.062925
"1459",0.062922
"1460",0.062919
"1461",0.062916
"1462",0.062913
"1463",0.06291
"1464",0.062907
"1465",0.062904
"1466",0.062901
"1467",0.062898
"1468",0.062895
"1469",0.062891
"1470",0.062888
"1471",0.062885
"1472",0.062882
"1473",0.062879
"1474",0.062876
"1475",0.062873
"1476",0.06287
"1477",0.062867
"1478",0.062864
"1479",0.062861
"1480",0.062857
"1481",0.062854
"1482",0.062858
"1483",0.062862
"1484",0.062867
"1485",0.062873
"1486",0.062876
"1487",0.062877
"1488",0.062874
"1489",0.062875
"1490",0.062882
"1491",0.062892
"1492",0.062902
"1493",0.062912
"1494",0.062923
"1495",0.062934
"1496",0.062943
"1497",0.062955
"1498",0.062971
"1499",0.062987
"1500",0.063003
"1501",0.063019
"1502",0.06303
"1503",0.063035
"1504",0.06305
"1505",0.063046
"1506",0.06305
"1507",0.063062
"1508",0.063068
"1509",0.063083
"1510",0.063098
"1511",0.063101
"1512",0.063113
"1513",0.063128
"1514",0.063142
"1515",0.063156
"1516",0.06317
"1517",0.063185
"1518",0.063197
"1519",0.063201
"1520",0.063198
"1521",0.063194
"1522",0.0632
"1523",0.063206
"1524",0.063203
"1525",0.063199
"1526",0.063196
"1527",0.063209
"1528",0.063217
"1529",0.063231
"1530",0.063244
"1531",0.063241
"1532",0.063238
"1533",0.063235
"1534",0.063232
"1535",0.063229
"1536",0.063226
"1537",0.063223
"1538",0.06322
"1539",0.063217
"1540",0.063213
"1541",0.06321
"1542",0.063207
"1543",0.063204
"1544",0.063201
"1545",0.063198
"1546",0.063195
"1547",0.063192
"1548",0.063189
"1549",0.063186
"1550",0.063182
"1551",0.063181
"1552",0.063178
"1553",0.063176
"1554",0.063173
"1555",0.06317
"1556",0.063167
"1557",0.063164
"1558",0.063161
"1559",0.063158
"1560",0.063155
"1561",0.063152
"1562",0.063148
"1563",0.063149
"1564",0.06315
"1565",0.063147
"1566",0.063144
"1567",0.063141
"1568",0.063145
"1569",0.063152
"1570",0.063159
"1571",0.063162
"1572",0.063169
"1573",0.063179
"1574",0.063183
"1575",0.06318
"1576",0.063177
"1577",0.063173
"1578",0.063173
"1579",0.063176
"1580",0.063177
"1581",0.063179
"1582",0.063181
"1583",0.063183
"1584",0.063187
"1585",0.063193
"1586",0.063195
"1587",0.063192
"1588",0.063189
"1589",0.063189
"1590",0.06319
"1591",0.063187
"1592",0.063186
"1593",0.063188
"1594",0.063196
"1595",0.063206
"1596",0.063216
"1597",0.063227
"1598",0.063238
"1599",0.063242
"1600",0.063241
"1601",0.063241
"1602",0.063238
"1603",0.063235
"1604",0.063232
"1605",0.063229
"1606",0.063226
"1607",0.063227
"1608",0.063223
"1609",0.063224
"1610",0.063221
"1611",0.063218
"1612",0.063215
"1613",0.063212
"1614",0.063208
"1615",0.063205
"1616",0.063207
"1617",0.063204
"1618",0.063201
"1619",0.063198
"1620",0.063196
"1621",0.063195
"1622",0.063196
"1623",0.063199
"1624",0.063208
"1625",0.063205
"1626",0.063202
"1627",0.063206
"1628",0.063203
"1629",0.063203
"1630",0.0632
"1631",0.063199
"1632",0.063203
"1633",0.063214
"1634",0.063227
"1635",0.063242
"1636",0.063257
"1637",0.063272
"1638",0.063273
"1639",0.063285
"1640",0.063294
"1641",0.06331
"1642",0.063334
"1643",0.065714
"1644",0.068005
"1645",0.070237
"1646",0.072388
"1647",0.074457
"1648",0.076447
"1649",0.078356
"1650",0.080183
"1651",0.081906
"1652",0.08357
"1653",0.085148
"1654",0.086649
"1655",0.088066
"1656",0.089404
"1657",0.090667
"1658",0.091848
"1659",0.092948
"1660",0.093958
"1661",0.094871
"1662",0.095708
"1663",0.096482
"1664",0.097173
"1665",0.097782
"1666",0.098309
"1667",0.098724
"1668",0.099068
"1669",0.099342
"1670",0.099534
"1671",0.099651
"1672",0.099687
"1673",0.099725
"1674",0.099765
"1675",0.099806
"1676",0.099843
"1677",0.099881
"1678",0.099919
"1679",0.099957
"1680",0.099996
"1681",0.100036
"1682",0.100077
"1683",0.100116
"1684",0.100157
"1685",0.100198
"1686",0.10024
"1687",0.10028
"1688",0.100319
"1689",0.100359
"1690",0.100398
"1691",0.100437
"1692",0.100477
"1693",0.100518
"1694",0.100557
"1695",0.100586
"1696",0.100627
"1697",0.100668
"1698",0.100709
"1699",0.100747
"1700",0.10078
"1701",0.100816
"1702",0.100854
"1703",0.100864
"1704",0.100868
"1705",0.100873
"1706",0.100879
"1707",0.100886
"1708",0.100895
"1709",0.100905
"1710",0.100916
"1711",0.100928
"1712",0.100941
"1713",0.100956
"1714",0.100972
"1715",0.100989
"1716",0.101007
"1717",0.10105
"1718",0.101093
"1719",0.101132
"1720",0.101171
"1721",0.101211
"1722",0.101252
"1723",0.101291
"1724",0.101333
"1725",0.10137
"1726",0.10141
"1727",0.10145
"1728",0.10149
"1729",0.10153
"1730",0.101568
"1731",0.10161
"1732",0.101651
"1733",0.101693
"1734",0.101734
"1735",0.101771
"1736",0.101809
"1737",0.101847
"1738",0.101886
"1739",0.101926
"1740",0.101966
"1741",0.102005
"1742",0.102045
"1743",0.102086
"1744",0.102127
"1745",0.102167
"1746",0.102206
"1747",0.102243
"1748",0.102279
"1749",0.102311
"1750",0.102337
"1751",0.102363
"1752",0.102392
"1753",0.102426
"1754",0.102458
"1755",0.102492
"1756",0.102525
"1757",0.102556
"1758",0.102586
"1759",0.102614
"1760",0.10264
"1761",0.102664
"1762",0.102684
"1763",0.102704
"1764",0.102721
"1765",0.102735
"1766",0.10275
"1767",0.102762
"1768",0.102773
"1769",0.102783
"1770",0.102791
"1771",0.102796
"1772",0.102799
"1773",0.1028
"1774",0.102798
"1775",0.102793
"1776",0.102788
"1777",0.102783
"1778",0.102778
"1779",0.102773
"1780",0.102768
"1781",0.102762
"1782",0.102757
"1783",0.102752
"1784",0.102747
"1785",0.102742
"1786",0.102737
"1787",0.102732
"1788",0.102727
"1789",0.102722
"1790",0.102717
"1791",0.102712
"1792",0.102707
"1793",0.102702
"1794",0.102697
"1795",0.102692
"1796",0.102687
"1797",0.102682
"1798",0.102677
"1799",0.102672
"1800",0.102667
"1801",0.102662
"1802",0.102657
"1803",0.102651
"1804",0.102646
"1805",0.102641
"1806",0.102636
"1807",0.102631
"1808",0.102626
"1809",0.102621
"1810",0.102616
"1811",0.102611
"1812",0.102606
"1813",0.102601
"1814",0.102596
"1815",0.102591
"1816",0.102586
"1817",0.102581
"1818",0.102576
"1819",0.102571
"1820",0.102566
"1821",0.102561
"1822",0.102556
"1823",0.102551
"1824",0.102546
"1825",0.102541
"1826",0.102536
"1827",0.102531
"1828",0.102526
"1829",0.102521
"1830",0.102515
"1831",0.10251
"1832",0.102505
"1833",0.1025
"1834",0.102495
"1835",0.10249
"1836",0.102485
"1837",0.10248
"1838",0.102475
"1839",0.10247
"1840",0.102465
"1841",0.10246
"1842",0.102455
"1843",0.10245
"1844",0.102445
"1845",0.10244
"1846",0.102435
"1847",0.10243
"1848",0.102425
